Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;2679436;1235653
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;2679815;1237410
Zwillikon;8909;0;Affoltern am Albis;2;ZH;2675105;1237890
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;2676439;1236966
Bonstetten;8906;0;Bonstetten;3;ZH;2677799;1241025
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;2682996;1232962
Ebertswil;8925;0;Hausen am Albis;4;ZH;2684169;1231177
Hedingen;8908;0;Hedingen;5;ZH;2676519;1239054
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;2682262;1231284
Hauptikon;8926;2;Kappel am Albis;6;ZH;2680023;1231590
Uerzlikon;8926;3;Kappel am Albis;6;ZH;2680341;1230665
Knonau;8934;0;Knonau;7;ZH;2677403;1230822
Maschwanden;8933;0;Maschwanden;8;ZH;2674786;1232061
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;2677614;1232938
Obfelden;8912;0;Obfelden;10;ZH;2674502;1235214
Ottenbach;8913;0;Ottenbach;11;ZH;2673060;1237324
Rifferswil;8911;0;Rifferswil;12;ZH;2680093;1233046
Stallikon;8143;0;Stallikon;13;ZH;2679551;1242199
Uetliberg;8143;2;Stallikon;13;ZH;2679542;1244825
Wettswil;8907;0;Wettswil am Albis;14;ZH;2678321;1243535
Adlikon b. Andelfingen;8452;0;Adlikon;21;ZH;2694410;1270774
Benken ZH;8463;0;Benken (ZH);22;ZH;2691311;1278717
Berg am Irchel;8415;0;Berg am Irchel;23;ZH;2687249;1269506
Gräslikon;8415;1;Berg am Irchel;23;ZH;2687808;1268053
Buch am Irchel;8414;0;Buch am Irchel;24;ZH;2689123;1267148
Dachsen;8447;0;Dachsen;25;ZH;2688270;1280254
Dorf;8458;0;Dorf;26;ZH;2690996;1269699
Feuerthalen;8245;0;Feuerthalen;27;ZH;2690271;1282950
Langwiesen;8246;0;Feuerthalen;27;ZH;2691950;1282202
Flaach;8416;0;Flaach;28;ZH;2687598;1269831
Flurlingen;8247;0;Flurlingen;29;ZH;2689293;1282182
Andelfingen;8450;0;Andelfingen;30;ZH;2693253;1272313
Henggart;8444;0;Henggart;31;ZH;2693670;1268742
Humlikon;8457;0;Humlikon;32;ZH;2692614;1270162
Kleinandelfingen;8451;0;Kleinandelfingen;33;ZH;2693581;1272835
Alten;8453;0;Kleinandelfingen;33;ZH;2690909;1272782
Oerlingen;8461;0;Kleinandelfingen;33;ZH;2693031;1275546
Nohl;8212;4;Laufen-Uhwiesen;34;ZH;2687813;1280577
Uhwiesen;8248;0;Laufen-Uhwiesen;34;ZH;2689803;1280733
Marthalen;8460;0;Marthalen;35;ZH;2690936;1275649
Ellikon am Rhein;8464;0;Marthalen;35;ZH;2687135;1273399
Oberstammheim;8477;0;Oberstammheim;36;ZH;2702399;1276817
Ossingen;8475;0;Ossingen;37;ZH;2696777;1274089
Rheinau;8462;0;Rheinau;38;ZH;2687521;1277682
Thalheim an der Thur;8478;0;Thalheim an der Thur;39;ZH;2698984;1270638
Rudolfingen;8465;0;Trüllikon;40;ZH;2692789;1277364
Wildensbuch;8465;1;Trüllikon;40;ZH;2693224;1278500
Trüllikon;8466;0;Trüllikon;40;ZH;2694210;1277042
Truttikon;8467;0;Truttikon;41;ZH;2696798;1276290
Unterstammheim;8476;0;Unterstammheim;42;ZH;2701723;1277564
Volken;8459;0;Volken;43;ZH;2689566;1269805
Waltalingen;8468;0;Waltalingen;44;ZH;2700338;1275447
Guntalingen;8468;2;Waltalingen;44;ZH;2699722;1276795
Bachenbülach;8184;0;Bachenbülach;51;ZH;2683462;1262013
Bassersdorf;8303;0;Bassersdorf;52;ZH;2689695;1255514
Bülach;8180;0;Bülach;53;ZH;2683022;1263508
Dietlikon;8305;0;Dietlikon;54;ZH;2688817;1253413
Eglisau;8193;0;Eglisau;55;ZH;2681816;1269953
Embrach;8424;0;Embrach;56;ZH;2687141;1261806
Freienstein;8427;2;Freienstein-Teufen;57;ZH;2686762;1265290
Teufen ZH;8428;0;Freienstein-Teufen;57;ZH;2684967;1267185
Glattfelden;8192;0;Glattfelden;58;ZH;2679802;1268105
Zweidlen;8192;1;Glattfelden;58;ZH;2677369;1268308
Hochfelden;8182;0;Hochfelden;59;ZH;2681100;1264181
Höri;8181;0;Höri;60;ZH;2680594;1262402
Hüntwangen;8194;0;Hüntwangen;61;ZH;2679293;1272172
Kloten;8302;0;Kloten;62;ZH;2686403;1256380
Lufingen;8426;0;Lufingen;63;ZH;2687042;1260600
Nürensdorf;8309;0;Nürensdorf;64;ZH;2691300;1255947
Oberembrach;8425;0;Oberembrach;65;ZH;2688838;1260294
Glattbrugg;8152;0;Opfikon;66;ZH;2685033;1254250
Opfikon;8152;1;Opfikon;66;ZH;2686231;1253984
Glattpark (Opfikon);8152;2;Opfikon;66;ZH;2684835;1253155
Rafz;8197;0;Rafz;67;ZH;2682428;1274322
Rorbas;8427;3;Rorbas;68;ZH;2685809;1264872
Wallisellen;8304;0;Wallisellen;69;ZH;2687028;1251957
Wasterkingen;8195;0;Wasterkingen;70;ZH;2677774;1271560
Wil ZH;8196;0;Wil (ZH);71;ZH;2680078;1272987
Winkel;8185;0;Winkel;72;ZH;2684086;1260791
Bachs;8164;0;Bachs;81;ZH;2675344;1264293
Boppelsen;8113;0;Boppelsen;82;ZH;2672671;1258197
Buchs ZH;8107;0;Buchs (ZH);83;ZH;2675366;1256927
Dällikon;8108;0;Dällikon;84;ZH;2675488;1254830
Dänikon ZH;8114;0;Dänikon;85;ZH;2672917;1255466
Dielsdorf;8157;0;Dielsdorf;86;ZH;2676493;1259764
Hüttikon;8115;0;Hüttikon;87;ZH;2671541;1255465
Neerach;8173;0;Neerach;88;ZH;2678030;1263041
Niederglatt ZH;8172;0;Niederglatt;89;ZH;2680254;1260178
Niederhasli;8155;0;Niederhasli;90;ZH;2678776;1259586
Nassenwil;8155;1;Niederhasli;90;ZH;2677870;1257733
Oberhasli;8156;0;Niederhasli;90;ZH;2679892;1257721
Niederweningen;8166;0;Niederweningen;91;ZH;2670093;1261903
Oberglatt ZH;8154;0;Oberglatt;92;ZH;2681567;1258991
Oberweningen;8165;2;Oberweningen;93;ZH;2672985;1261897
Otelfingen;8112;0;Otelfingen;94;ZH;2671517;1257224
Regensberg;8158;0;Regensberg;95;ZH;2675384;1259634
Regensdorf;8105;0;Regensdorf;96;ZH;2677478;1253827
Watt;8105;2;Regensdorf;96;ZH;2678645;1255191
Adlikon b. Regensdorf;8106;2;Regensdorf;96;ZH;2677296;1256008
Rümlang;8153;0;Rümlang;97;ZH;2682508;1256231
Schleinikon;8165;3;Schleinikon;98;ZH;2671798;1261251
Schöfflisdorf;8165;0;Schöfflisdorf;99;ZH;2673707;1261493
Stadel b. Niederglatt;8174;0;Stadel;100;ZH;2677375;1264551
Windlach;8175;0;Stadel;100;ZH;2678024;1266117
Steinmaur;8162;0;Steinmaur;101;ZH;2676631;1261426
